name,input_types,output_behavior,costs,constraints
Slashing Conditions,"['validator actions', 'attestation history']","['validator penalty', 'stake reduction']",['network verification overhead'],"['defined in consensus spec', 'must prevent equivocation']"
Attestations / Aggregates,"['beacon block root', 'validator signature', 'slot']","['vote weight signal', 'fork choice input']","['bandwidth', 'signature verification']","['time-sensitive', 'requires validator quorum']"
Sync Committees,"['light client proofs', 'signature aggregates']","['light client verification', 'sync updates']",['increased validator set rotation'],"['fixed participant set per period', 'optimized for light clients']"
"Finality Gadgets (e.g., Casper FFG)","['checkpoint votes', 'validator weight']","['finalized block', 'epoch boundary']",['consensus overhead'],"['requires 2/3 majority', 'subject to liveness/finality tradeoffs']"
MEV Boost Relays & Builders,"['block bundles', 'bid payloads', 'proposer key']",['optimized block proposal'],"['latency', 'relay trust assumptions']","['requires PBS opt-in', 'external builder reliance']"
Proposer-Builder Separation (PBS),"['builder bids', 'proposer selection']",['sealed block delivery'],"['added communication round', 'coordination delay']","['consensus-side opt-in', 'builder censorship risk']"
ERC-20,"['address', 'uint256', 'function call']","['token transfer', 'balance update', 'event emit']",['gas per transaction'],"['must implement standard interface', 'fixed decimal semantics']"
ERC-721,"['tokenId', 'address', 'metadata URI']","['non-fungible token mint/transfer', 'ownership tracking']",['gas per mint/transfer'],"['unique token IDs', 'optional metadata standard']"
ERC-1155,"['tokenId', 'amount', 'data', 'address']","['batch transfers', 'fungible + non-fungible support']","['gas for batch ops', 'variable by use case']","['multi-token standard', 'requires interface adherence']"
ERC-4626,"['ERC-20 asset', 'deposit/withdraw call']","['yield accrual', 'shares minted/burned']","['gas for vault entry/exit', 'strategy overhead']","['composability with ERC-20', 'strategy-dependent yield']"
ERC-4337,"['UserOperation struct', 'EntryPoint contract']","['account abstraction features', 'sponsored tx logic']","['bundler processing', 'gas abstraction logic']","['requires ERC-4337 bundler infra', 'non-native tx']"
ERC-2535 (Diamond Standard),"['facet address', 'function selectors', 'diamondCut data']","['contract upgrade', 'facet add/replace/remove']","['gas for diamondCut', 'delegation overhead']","['must follow Diamond interface', 'modular logic routing']"
ERC-6551,"['ERC-721 token', 'account creation call']","['token-bound account', 'ERC-4337-style account']","['gas for instantiation', 'contract call overhead']","['requires NFT ownership', 'ERC-4337 compliance recommended']"
Ethereum Name Service (ENS),"['domain string', 'resolver address', 'record data']","['name-to-address resolution', 'metadata linking']",['gas for registration/update'],"['hierarchical structure', 'domain expiration rules']"
Soulbound Tokens (SBTs),"['recipient address', 'token metadata']",['non-transferable token issuance'],['minting gas'],"['non-transferable', 'identity-anchored use cases']"
DID Registries,"['DID string', 'verification methods', 'service endpoints']",['resolvable decentralized identity'],['gas to register or update'],"['must follow DID spec', 'requires off-chain resolution layer']"
Ethereum Attestation Service (EAS),"['attester address', 'schema', 'claim data']",['on-chain attestations'],"['gas for submission', 'verifier read cost']","['schema must be pre-registered', 'verifiability scope is context-dependent']"
BrightID / Proof of Humanity / World ID,"['biometric or social graph input', 'verification proof']",['unique identity assertion'],"['off-chain verification', 'on-chain attestation']","['requires trusted setup or verifier group', 'privacy trade-offs vary']"
Token-Curated Registries (TCRs),"['token stake', 'candidate metadata', 'challenge']","['curated list', 'economic signal']","['deposit to apply or challenge', 'dispute resolution gas']","['requires token economy design', 'game-theoretic vulnerability']"
DAOs (DAO frameworks),"['governance token', 'proposal data', 'votes']","['decision execution', 'treasury interaction']","['gas per proposal/vote', 'operational overhead']","['requires governance logic', 'coordination risk']"
Moloch v2 / v3,"['proposal', 'shares/loot', 'ragequit request']","['member registry change', 'funding execution']",['gas per interaction'],"['non-transferable shares (v2)', 'ragequit mechanism']"
Zodiac (Gnosis Guild),"['module address', 'avatar address', 'execution script']","['modular DAO extension', 'permissioned calls']",['gas for module setup/calls'],"['must interface with Gnosis Safe', 'high composability']"
Gnosis Safe,"['threshold signature set', 'transaction bundle']",['secure multi-sig execution'],['gas per execution'],"['threshold-based execution', 'module support']"
Snapshot Voting,"['off-chain vote', 'IPFS proposal data']","['off-chain vote results', 'on-chain signaling optional']","['off-chain storage cost', 'optional relayer cost']","['off-chain voting', 'trust in snapshot server']"
Quadratic Voting / Funding Systems,"['vote weights', 'identity proof', 'fund pool']","['weighted allocation', 'fund distribution']","['computational cost for square root math', 'identity verification']","['vulnerable to Sybil attacks', 'requires identity system']"
Gitcoin Grants,"['grant application', 'donations', 'QF matching pool']","['retroactive distribution', 'signal-weighted impact']","['matching algorithm cost', 'gas for registry']",['subject to identity and Sybil resistance mechanisms']
"Governor Contracts (e.g., OpenZeppelin Governor)","['proposal struct', 'token votes']","['on-chain execution', 'tally result']",['gas for proposals and execution'],"['defined quorum/threshold rules', 'ERC-20/721 integration']"
"Delegation Systems (e.g., Liquid Democracy tools)","['delegate mapping', 'votes', 'proposal data']","['transitive voting', 'adjustable vote flows']",['gas for vote delegation and updates'],"['delegate churn risk', 'social coordination challenge']"
Ragequit Modules,"['member shares', 'exit request']","['fund withdrawal', 'membership reduction']",['gas for exit logic'],"['requires accurate share tracking', 'governance finality']"
LayerZero,"['message payload', 'endpoint addresses', 'chain IDs']","['cross-chain message relay', 'execution on destination chain']","['gas on both chains', 'oracle and relayer fees']","['requires endpoint deployment', 'trust in relayer and oracle']"
Wormhole,"['VAA (Verified Action Approval)', 'contract call', 'payload']",['verified cross-chain action'],"['gas on source/destination', 'guardian cost']","['trust in guardian set', 'VAA finality required']"
Axelar,"['GMP (General Message Passing) payload', 'gateway calls']",['cross-chain function call'],"['execution gas', 'cross-chain relay fee']","['relayer dependency', 'chain support scope']"
Hypercerts,"['impact metadata', 'issuer identity', 'attestation']",['verifiable certificate of impact'],['minting and attestation gas'],"['requires attestation logic', 'cross-project standardization']"
Event Logs + Log Indexers,"['contract event emissions', 'indexed fields']","['off-chain log retrieval', 'state sync']","['gas for log emit', 'indexer infra cost']","['requires off-chain indexer', 'event structure standardization']"
Off-chain Messaging Layers,"['message body', 'signature', 'recipient ID']",['encrypted or signed message routing'],['infra or relayer cost'],"['message persistence varies', 'relies on trusted infra']"
XMTP (wallet-to-wallet messaging),"['wallet signature', 'message text']",['end-to-end encrypted chat'],"['gas for identity linking (if any)', 'off-chain message infra']","['relies on XMTP network', 'opt-in communication']"
Sign-in with Ethereum (SIWE),"['message string', 'wallet signature']",['authentication assertion'],['minimal signing cost'],"['must follow EIP-4361', 'off-chain validation']"
Meta-transactions,"['user signature', 'relayer address', 'transaction data']",['relayed transaction execution'],"['gas paid by relayer', 'signing overhead']","['requires relayer trust', 'non-standard execution path']"
Batching Contracts,"['array of transactions', 'executor address']",['sequential transaction execution'],['combined gas for batched calls'],"['must manage failure conditions', 'gas optimization variable']"
Multicall Modules,['array of encoded function calls'],"['aggregated return values', 'single call state access']","['flat gas for one call', 'individual call overhead']",['read-only or state-altering depending on setup']
Permit (EIP-2612),"['signature', 'spender address', 'value', 'deadline']",['approval without transaction'],"['gas for execution', 'no gas for signing']",['requires EIP-2612 compliant contract']
Flashbots Bundles,"['signed transactions', 'bundle metadata']","['atomic block inclusion', 'MEV minimization']","['bribe/fee to miner/relay', 'bundle construction overhead']","['off-chain negotiation', 'searcher competition']"
Gas Sponsorship & Rebates,"['user transaction', 'sponsor identity']",['user transaction with gas refunded or prepaid'],"['gas for execution', 'sponsor gas offset']","['off-chain sponsorship criteria', 'requires support infra']"
Transaction Relayers,"['signed transaction', 'relayer endpoint']",['tx sent on behalf of user'],['relayer service fee'],"['trust model varies', 'relayer availability needed']"
Simulation / Pre-confirmation Tools,"['transaction payload', 'block context']","['predicted outcome', 'gas estimate', 'error trace']",['off-chain compute'],"['not guaranteed to match final execution', 'dependent on mempool state']"
Merkle Trees,"['data leaves', 'hash function']","['Merkle root', 'inclusion proof']",['hash computation'],"['requires ordered data', 'depth affects efficiency']"
IPFS-linked Contract Metadata,"['contract metadata JSON', 'IPFS CID']",['off-chain metadata retrieval'],"['IPFS storage fee', 'contract linking gas']","['IPFS availability', 'mutable metadata policies']"
Chainlink Data Feeds / Oracles,"['external data source', 'node network']",['verified on-chain data'],"['oracle fee', 'gas for consumption']","['trust in oracle network', 'latency and availability']"
Subgraphs (The Graph Protocol),"['event logs', 'ABI schema', 'GraphQL queries']",['indexed queryable data'],"['indexing rewards', 'query fees (optional)']","['requires subgraph deployment', 'sync lag possible']"
"Metadata Registries (e.g., OpenSea)","['token metadata URI', 'image/content link']",['UI display and searchability'],"['hosting metadata', 'token-level gas']","['centralized or semi-centralized', 'URI must persist']"
Verifiable Credentials,"['issuer signature', 'credential subject', 'claim']",['cryptographically provable identity claims'],['storage gas or off-chain persistence'],"['requires trusted issuer', 'revocation protocols vary']"
"ZK Proofs and Circuits (e.g., zkSNARKs, STARKs)","['witness data', 'circuit program']","['validity proof', 'verifier check']","['proof generation compute', 'on-chain verifier gas']","['setup assumptions vary', 'proof size and time tradeoffs']"
CRDTs (Conflict-free Replicated Data Types),"['replica operations', 'merge rules']",['eventually consistent shared state'],"['replication bandwidth', 'merge overhead']","['not widely adopted on-chain', 'requires off-chain infra']"
AMMs (Automated Market Makers),"['token pairs', 'liquidity deposits', 'swap request']","['token swaps', 'price discovery', 'fee accrual']","['swap gas fee', 'liquidity provisioning cost']","['constant product or variant curve', 'impermanent loss']"
Liquidity Pools,"['token deposit', 'pool join parameters']","['LP token issuance', 'pro-rata share of fees']","['gas for join/exit', 'management overhead']","['price volatility risk', 'requires liquidity strategy']"
Bonding Curves,"['purchase/sell amount', 'curve parameters']",['price-adjusted mint/burn of token'],"['gas for curve calculation', 'slippage cost']","['predefined mathematical function', 'liquidity depth sensitivity']"
Staking Derivatives,"['staked ETH or asset', 'derivative minting request']","['liquid staking token', 'reward accrual']","['protocol fee', 'gas for mint/burn']","['staking protocol dependency', 'peg stability risk']"
Streaming Protocols,"['ERC20 token', 'receiver address', 'stream rate']","['continuous token flow', 'real-time balance update']","['setup gas', 'execution overhead']",['requires compliance with streaming contract interface']
Superfluid,"['token', 'flow rate', 'receiver']","['instant token streaming', 'dynamic flow updates']","['gas per stream init/update', 'ongoing settlement logic']","['token must be SuperToken', 'stream rate granularity']"
Vaults / Yield Strategies,"['deposit token', 'strategy selector']","['yield harvesting', 'compounded returns']","['gas for rebalance', 'strategy fee']","['depends on strategy risk model', 'withdrawal delays']"
Escrow Contracts,"['payer', 'payee', 'release condition']","['conditional payment', 'dispute mediation']",['gas for lock and release'],"['requires condition logic', 'dispute resolution surface']"
Options / Derivatives / Perps Contracts,"['underlying asset', 'strike price', 'expiry']",['leveraged or hedged position'],"['premium or margin', 'gas per trade']","['complexity of pricing model', 'oracle dependency']"
Automated Credit Lines,"['collateral asset', 'loan request', 'interest rate model']","['borrowed token', 'accruing interest']","['gas for supply/borrow', 'protocol fee']","['collateralization ratio', 'liquidation logic']"
Bribes / Gauges / Voting Markets,"['incentive token', 'vote direction', 'reward terms']","['influence over parameter', 'reward payout']","['gas for vote and reward', 'bribe token budget']","['requires voting system integration', 'economic game incentives']"
Contract Factories,"['contract bytecode', 'constructor args']",['new contract instance'],['gas for deployment'],"['must follow factory pattern', 'deployment logic baked in']"
Scaffold-ETH / Foundry / Hardhat / Brownie,"['contract source code', 'test cases', 'deployment scripts']","['compiled bytecode', 'local simulation', 'deployment automation']","['dev time', 'local or hosted node resources']","['off-chain toolsets', 'integration varies']"
Chain Development Kits (CDKs),"['chain parameters', 'modular components']",['custom blockchain instance'],"['infrastructure setup', 'devOps overhead']","['ecosystem dependency', 'rollup config rules']"
OP Stack,"['rollup config', 'contracts', 'fraud proofs']",['Optimism-based L2 chain'],"['gas for deployment', 'L1 call costs']","['Optimism architecture adherence', 'security model assumptions']"
Arbitrum Orbit,"['custom config', 'L3 deployment']",['Arbitrum-native chain'],['infra and validator costs'],"['depends on Arbitrum Nitro', 'permissioned or permissionless variants']"
Polygon CDK,"['zkEVM or validium config', 'modules']",['modular L2 or L3 deployment'],"['ZK proof generation', 'infra costs']","['ZK stack alignment', 'sequencer requirement']"
Rollup as a Service (RaaS) Tools,"['deployment metadata', 'rollup parameters']",['L2 or L3 instance on demand'],"['subscription fee', 'infra scaling cost']","['centralization trade-offs', 'modularity varies']"
Sequencers,"['transaction queue', 'batch parameters']","['ordered batch', 'rollup block']","['compute and gas cost', 'latency overhead']","['censorship risk', 'liveness requirements']"
"Node Infrastructure (RPC endpoints, clients)","['RPC calls', 'blockchain state queries']","['execution responses', 'sync capability']","['bandwidth', 'server hosting']","['RPC rate limits', 'data consistency']"
"Testnets (e.g., Holesky, Sepolia)","['dev deployment', 'test transactions']","['simulated execution', 'realistic network feedback']","['minimal test gas', 'infrastructure use']","['non-production environment', 'subject to resets']"
"Chain Indexers (e.g., The Graph, EigenLayer Indexers)","['on-chain events', 'query patterns']","['indexed, filterable data']","['indexing infra', 'query service fee']","['lag from real-time', 'schema rigidity']"
Reputation Systems,"['user actions', 'peer feedback', 'attestations']","['reputation score', 'access modulation']","['gas for updates', 'social coordination overhead']","['subjective metrics', 'Sybil resistance challenges']"
Retroactive Funding / Impact Certificates,"['work record', 'impact data', 'attestation proofs']","['post-facto reward', 'market tradable certificate']","['evaluation compute', 'issuance gas']","['requires trustable evaluators', 'time-delay of reward']"
"Streaming Allocators (e.g., Guild / FlowSplitter)","['contribution weights', 'stream rate', 'recipient addresses']",['real-time token allocation'],"['gas for stream setup', 'data update logic']","['requires weighted registry', 'streaming protocol integration']"
"Autonomic Agents (e.g., Autonomous Worlds agents)","['environmental input', 'internal state']","['self-directed action', 'state transitions']","['execution gas', 'external simulation infra']","['requires persistent environment', 'autonomy bounds']"
On-chain Games and State Machines,"['player action', 'game state', 'rule logic']","['state evolution', 'reward or loss']","['gas per move', 'storage costs']","['game must be expressible in smart contracts', 'scalability limits']"
"AI-based Signaling Systems (e.g., GPT-rater agents)","['content artifact', 'evaluation criteria']","['quality signal', 'reputation assignment']","['off-chain model inference', 'on-chain storage if logged']","['model bias risk', 'oracle trust assumptions']"
"Modular Execution Layers (e.g., Reth, EVM-in-Rust)","['transaction payloads', 'state inputs', 'Rust-based VM']","['EVM-compatible execution', 'customizable runtime']","['build time', 'infra resource usage']","['partial ecosystem support', 'early-stage production readiness']"
"Intent-based Architectures (e.g., Anoma, Espresso Intents)","['user intents', 'solver agents', 'coordination market']",['satisfiable transaction bundle'],"['solver fee', 'coordination layer cost']","['new intent format standards', 'complex matching layer']"
EigenLayer Restaking Primitives,"['staked ETH', 'restaking opt-in', 'slashing condition']","['extended validation service', 'slashing risk exposure']","['staking overhead', 'slashing penalty risk']","['requires trust in external modules', 'correlation risk']"
"Programmable Privacy Objects (e.g., Noir, Railgun)","['private inputs', 'ZK circuit', 'execution logic']",['privacy-preserving transaction'],"['ZK proof generation', 'on-chain verifier cost']","['performance limits', 'regulatory uncertainty']"
"Autonomous World Primitives (e.g., MUD)","['game logic modules', 'player actions', 'state sync']","['persistent on-chain world', 'programmable objects']","['gas for each update', 'coordination infra']","['design-space experimental', 'scalability limits']"
"Simulation + Forecast Engines (e.g., LLM + Chain data models)","['chain data', 'model prompt', 'simulation parameters']","['predictive signal', 'state evolution scenarios']","['AI inference compute', 'model tuning']","['dependent on model accuracy', 'non-determinism']"
Hierarchical Role Trees (Hats Protocol),"['role hierarchy data', 'eligibility conditions', 'admin controls']","['on-chain roles assignment', 'permission gating']","['gas for hat creation/updates', 'subgraph/indexer for queries']","['requires Hats protocol deployment', 'off-chain context for role meaning']"
Crowdstaking (Breadchain Primitive),"['stablecoin deposit', 'yield generation platform']","['community token minting', 'interest redirected to treasury']","['opportunity cost of capital', 'gas for stake/unstake transactions']","['requires yield-bearing stablecoins', 'redeemable token peg to deposits']"
"State Channels (e.g., Raiden)","['off-chain state updates', 'multisig channel contract']","['instant off-chain transactions', 'settlement on-chain for disputes']","['collateral lock-up', 'on-chain open/close channel gas']","['participants online for settlement', 'limited to known counterparty set']"
Fee Market (EIP-1559 Base Fee/Burn),"['transactions with bids', 'block gas limit']","['base fee adjustment per block', 'transaction fee burning']","['variable base fee', 'user tip for priority']","['burn is irreversible', 'base fee adds block elasticity']"
Data Sharding (EIP-4844 Proto-Danksharding),"['blob transaction', 'KZG commitment']","['temporary data availability blobs', 'fee market for data']","['blob inclusion gas cost', 'data availability network load']","['blobs pruned after expiry', 'full danksharding requires DAS']"
Flash Loans,"['borrow amount', 'smart contract callback']","['uncollateralized loan in single tx', 'revert if not repaid']","['flash loan fee', 'gas for execution']","['must repay in same transaction', 'can be used for atomic arbitrage']"
"NFT Fractionalization (e.g., Tessera)","['NFT asset', 'fractionalization contract parameters']","['ERC-20 shards of NFT ownership', 'recomposition on buyout']","['gas for fractionalization and redemption', 'marketplace liquidity needs']","['governance for vault decisions', 'price discovery required for buyout']"
NFT Rentals (ERC-4907 and similar),"['NFT asset', 'rental terms (duration, fee)']","['time-limited user privileges', 'automatic reclaim after expiry']","['gas to set up rental', 'opportunity cost for owner']","['original NFT locked or escrowed', 'renter must trust smart contract enforcement']"
"EVM Sidechains (e.g., Polygon PoS, Gnosis Chain)","['asset bridge deposits', 'independent consensus']","['parallel EVM execution', 'periodic state checkpointing']","['bridge fees', 'separate validator incentives']","['distinct trust assumptions', 'weaker security than L1']"
